N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,두산중공업,"13,900",100,+0.72%,"5,000","58,725","422,482",8.38,"5,669,433",-7.81,-37.20,
60,현대건설,"52,600",600,-1.13%,"5,000","58,573","111,356",21.32,"769,854",47.91,1.84,
61,한국금융지주,"103,000",500,+0.49%,"5,000","57,398","55,726",33.08,"293,210",7.35,16.27,
62,현대중공업지주,"71,400","1,400",-1.92%,"1,000","56,401","78,993",17.37,"397,949",-9.36,-8.12,
63,강원랜드,"25,650",350,-1.35%,500,"54,876","213,940",20.25,"941,991",-19.90,-7.92,
64,SKC,"131,000",500,+0.38%,"5,000","49,607","37,868",12.26,"342,092","-2,079.37",2.21,
65,두산밥캣,"48,400",150,-0.31%,500,"48,521","100,249",24.68,"228,332",19.61,6.15,
66,한미사이언스,"69,900","1,700",-2.37%,500,"47,046","67,305",1.60,"234,183",208.04,3.47,
67,KODEX 200,"42,215",20,-0.05%,0,"46,943","111,200",9.10,"6,725,536",N/A,N/A,
68,오리온,"118,000",500,-0.42%,500,"46,653","39,536",40.36,"76,561",17.43,15.50,
69,LG이노텍,"193,500","3,000",+1.57%,"5,000","45,796","23,667",29.56,"154,500",19.39,10.20,
70,맥쿼리인프라,"12,050",0,0.00%,0,"44,849","372,192",15.05,"937,587",N/A,N/A,
71,유한양행,"64,000",600,+0.95%,"1,000","44,783","69,973",18.46,"178,128",46.68,11.06,
72,녹십자,"368,500","2,500",-0.67%,"5,000","43,065","11,687",19.59,"283,458",43.01,7.48,
73,GS,"46,150",750,-1.60%,"5,000","42,880","92,915",18.20,"579,189",-18.01,-2.82,
74,한진칼,"64,200","1,800",-2.73%,"2,500","42,541","66,263",15.40,"164,051",-14.34,-19.55,
75,이마트,"151,000","2,000",-1.31%,"5,000","42,092","27,876",31.25,"181,667",11.63,4.05,
76,한미약품,"345,500","7,000",-1.99%,"2,500","41,730","12,078",13.53,"40,626",348.99,1.65,
77,현대차2우B,"109,500",0,0.00%,"5,000","39,952","36,485",61.60,"130,556",21.29,N/A,
78,삼성증권,"44,450",50,-0.11%,"5,000","39,694","89,300",27.95,"466,493",7.82,9.89,
79,CJ대한통운,"169,500",500,-0.29%,"5,000","38,667","22,812",22.27,"31,219",32.21,3.89,
80,쌍용C&E,"7,670",100,-1.29%,100,"38,646","503,860",3.48,"1,143,773",27.99,7.92,
81,삼성엔지니어링,"19,200",550,-2.78%,"5,000","37,632","196,000",28.49,"4,705,649",15.37,16.75,
82,롯데지주,"35,750","1,050",-2.85%,200,"37,505","104,909",10.49,"556,897",-19.08,-3.03,
83,GS건설,"43,700",700,-1.58%,"5,000","37,360","85,491",29.01,"553,492",11.23,7.68,
84,삼성카드,"32,200",50,-0.16%,"5,000","37,307","115,859",10.86,"234,992",9.36,5.69,
85,NH투자증권,"13,200",300,-2.22%,"5,000","37,146","281,409",17.28,"1,007,520",6.87,10.32,
86,삼성중공업,"5,860",60,-1.01%,"5,000","36,918","630,000",14.86,"3,698,227",-2.49,-33.06,
87,대우조선해양,"34,100",500,-1.45%,"5,000","36,586","107,291",8.26,"745,028",42.26,2.27,
88,팬오션,"6,700",230,-3.32%,"1,000","35,816","534,570",10.08,"7,302,941",28.51,3.25,
89,호텔신라,"91,000","2,300",-2.47%,"5,000","35,716","39,248",20.36,"1,016,179",-12.84,-36.74,
90,DB손해보험,"50,000",800,-1.57%,500,"35,400","70,800",43.29,"179,631",6.33,9.08,
91,현대미포조선,"88,300","1,000",-1.12%,"5,000","35,269","39,942",11.06,"409,534",-180.94,-0.84,
92,신풍제약,"65,800",100,+0.15%,500,"34,864","52,985",9.50,"1,027,111",723.08,1.72,
93,휠라홀딩스,"54,100","2,900",-5.09%,"1,000","32,867","60,752",44.00,"935,838",17.26,10.94,
